yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,169365,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,44030,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,1011315,20.2540382,-9.2399263,59.36075159783851,25.01346951967388
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,19132463,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,224693,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,28937,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,10606849,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,4156273,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials,World,World,44936852,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials, Malta, Malta,2062604,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials, Morocco, Morocco,1437772,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,67469,20.2540382,-9.2399263,,
2010,2010,Import,Mauritania,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,97851,20.2540382,-9.2399263,,
