,rtTitle,ptTitle,rgDesc,TradeValue
0,Comoros,Algeria,Export,46574.0
1,Comoros,Azerbaijan,Import,2881.0
2,Comoros,Cyprus,Import,37.0
3,Comoros,Djibouti,Export,179003.0
4,Comoros,Djibouti,Import,125587.0
5,Comoros,Fmr Sudan,Export,21170.0
6,Comoros,Fmr Sudan,Import,140.0
7,Comoros,Kuwait,Export,21170.0
8,Comoros,Kuwait,Import,471620.0
9,Comoros,Lebanon,Import,41484.0
10,Comoros,Libya,Import,627176.0
11,Comoros,Morocco,Import,288015.0
12,Comoros,Oman,Import,245437.0
13,Comoros,Pakistan,Export,1017493.0
14,Comoros,Pakistan,Import,26564046.0
15,Comoros,Qatar,Import,273910.0
16,Comoros,Saudi Arabia,Export,127021.0
17,Comoros,Saudi Arabia,Import,1076293.0
18,Comoros,Syria,Import,77399.0
19,Comoros,Turkey,Export,94107.0
20,Comoros,Turkey,Import,7649245.0
21,Comoros,United Arab Emirates,Export,1168866.0
22,Comoros,United Arab Emirates,Import,68421061.0
23,Comoros,World,Export,26742819.0
24,Comoros,World,Import,210606233.0
25,Comoros,Yemen,Import,42800.0
