yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Import,Armenia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",105315410.0,,40.7696272,44.6736646,-36.8535712,174.7456809
2016,2016.0,Import,Armenia,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57110.0,,40.7696272,44.6736646,-34.9964963,-64.9672817
2016,2016.0,Import,Armenia,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",45997.0,,40.7696272,44.6736646,-24.7761086,134.755
2016,2016.0,Import,Armenia,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1862064.0,,40.7696272,44.6736646,47.59397,14.12456
2016,2016.0,Import,Armenia,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8676153.0,,40.7696272,44.6736646,50.6402809,4.6667145
2016,2016.0,Import,Armenia,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",10.0,,40.7696272,44.6736646,44.3053476,17.5961467
2016,2016.0,Import,Armenia,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5730.0,,40.7696272,44.6736646,-10.3333333,-53.2
2016,2016.0,Import,Armenia,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23918.0,,40.7696272,44.6736646,42.6073975,25.4856617
2016,2016.0,Import,Armenia,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1748555.0,,40.7696272,44.6736646,53.4250605,27.6971358
2016,2016.0,Import,Armenia,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38831.0,,40.7696272,44.6736646,12.5433216,104.8144914
2016,2016.0,Import,Armenia,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",94541.0,,40.7696272,44.6736646,61.0666922,-107.991707
2016,2016.0,Import,Armenia,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15939.0,,40.7696272,44.6736646,7.5554942,80.7137847
2016,2016.0,Import,Armenia,Chile,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",229.0,,40.7696272,44.6736646,-31.7613365,-71.3187697
2016,2016.0,Import,Armenia,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",9446599.0,,40.7696272,44.6736646,35.000074,104.999927
2016,2016.0,Import,Armenia,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",262.0,,40.7696272,44.6736646,4.099917,-72.9088133
2016,2016.0,Import,Armenia,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",273823.0,,40.7696272,44.6736646,49.7439047,15.3381061
