yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2004,2004,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,11708
2004,2004,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,46171
2004,2004,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,12
2004,2004,Re-Export,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,57891
