yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1208,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,679,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,10881,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1117333,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,46770,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,339947,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,4075,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,48516,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,25024,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,617006,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,18948,29.2733964,47.4979476,,
2020,2020,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,4279,29.2733964,47.4979476,,
