yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1867485,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,34974,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,1050,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,112145,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1026501,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,308223,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,259243,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,8964,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,662042,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,184270,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2812238,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,27486247,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,54652,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,20,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,5399,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,119,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,9477,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,85568,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,2985887,21.0000287,57.0036901,,
2019,2019,Import,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,14140394,21.0000287,57.0036901,,
