yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Re-Export,Qatar,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",701250399,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Re-Export,Qatar,Albania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37362,25.3336984,51.2295295,41.000028,19.9999619
2016,2016,Re-Export,Qatar,Algeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",800487,25.3336984,51.2295295,28.0000272,2.9999825
2016,2016,Re-Export,Qatar,Angola,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18605999,25.3336984,51.2295295,-11.8775768,17.5691241
2016,2016,Re-Export,Qatar,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11609546,25.3336984,51.2295295,-34.9964963,-64.9672817
2016,2016,Re-Export,Qatar,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14093,25.3336984,51.2295295,-24.7761086,134.755
2016,2016,Re-Export,Qatar,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",85988,25.3336984,51.2295295,47.59397,14.12456
2016,2016,Re-Export,Qatar,Bahrain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8858725,25.3336984,51.2295295,26.1551249,50.5344606
2016,2016,Re-Export,Qatar,Bangladesh,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1969233,25.3336984,51.2295295,24.4769288,90.2934413
2016,2016,Re-Export,Qatar,Belgium,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4095317,25.3336984,51.2295295,50.6402809,4.6667145
2016,2016,Re-Export,Qatar,Bosnia Herzegovina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",57925,25.3336984,51.2295295,44.3053476,17.5961467
