yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,8128,30.3308401,71.247499,37.977378106878206,73.97804075806764
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,6002,30.3308401,71.247499,51.67568633314729,27.673469819741847
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,1288724,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,903896,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,241575,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,40,30.3308401,71.247499,59.36075159783851,25.01346951967388
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,25309,30.3308401,71.247499,10.528384761701911,103.08333472012376
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,878,30.3308401,71.247499,25.499703063807168,75.5024015339642
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,17265,30.3308401,71.247499,40.12399607988535,20.742583178432696
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,5900,30.3308401,71.247499,6.06272746187266,22.727528470146083
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,19997,30.3308401,71.247499,47.92172048214207,7.866753258497997
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,World,World,22792364,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Afghanistan, Afghanistan,16908957,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,15938,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Iraq, Iraq,2455,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,104597,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,1982,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,35643,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,2483,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,2499190,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,498411,30.3308401,71.247499,,
2005,2005,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,101840,30.3308401,71.247499,,
