yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,2364,26.82,18.12,-16.85099460447687,133.4130365630627
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2061604,26.82,18.12,37.977378106878206,73.97804075806764
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,17743,26.82,18.12,51.67568633314729,27.673469819741847
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,658993,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2145954,26.82,18.12,43.897683433510366,-100.08947125585888
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,243104,26.82,18.12,59.36075159783851,25.01346951967388
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,408819,26.82,18.12,10.528384761701911,103.08333472012376
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1988574,26.82,18.12,40.12399607988535,20.742583178432696
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,1618368,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2736865,26.82,18.12,26.42921218083572,52.86847103284948
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,798165,26.82,18.12,47.92172048214207,7.866753258497997
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,12793089,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,1253,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Malta, Malta,2783,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,553,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,13116,26.82,18.12,,
2019,2019,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,94485,26.82,18.12,,
