yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2122320
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,347914
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,345112
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,925641
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2082091
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1242459
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,254023
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1997
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2175431
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1539
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1211731
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4429964
2018,2018,Import,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,18973765
