yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,6960,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,10394,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,7246,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,13531,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,130418,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,140619,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,140621,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2013,2013,Import,Malta,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,449795,35.8885993,14.4476911,,
