yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,34251
2005,2005,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,31
2005,2005,Re-Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,400429
