yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2018,2018,Export,Comoros,World,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",287,,,-36.8535712,174.7456809
2018,2018,Export,Comoros,Madagascar,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",47,,,-18.9249604,46.4416422
2018,2018,Export,Comoros,United Arab Emirates,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",239,,,24.0002488,53.9994829
