yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,5777,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,391374,25.3336984,51.2295295,37.977378106878206,73.97804075806764
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,14018,25.3336984,51.2295295,51.67568633314729,27.673469819741847
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,987937,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,238928,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,1351,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,15159,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,135998,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,8558701,25.3336984,51.2295295,,
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Bahrain, Bahrain,2595763,25.3336984,51.2295295,,
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,2970777,25.3336984,51.2295295,,
2012,2012,Import,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,1196068,25.3336984,51.2295295,,
