yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,18779,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2003,2003,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,31809,40.7696272,44.6736646,,
2003,2003,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes, Georgia, Georgia,13031,40.7696272,44.6736646,,
