yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,137490,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,19766,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,8,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,22447,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,7699567,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,5548282,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,244078,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,87245,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;,World,World,82404989,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,108281,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,761958,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,3696366,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Iraq, Iraq,27557966,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,279831,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,974052,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,12609,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,43615,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,23966,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,250177,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,9806589,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,18205996,21.0000287,57.0036901,,
2003,2003,Import,Oman,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,3490296,21.0000287,57.0036901,,
