yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,12299,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,72,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,2,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1170,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,111622,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,8171,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,127,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,260,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,3492,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,10161,21.0000287,57.0036901,,
2016,2016,Export,Oman,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,58286,21.0000287,57.0036901,,
