yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1652,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,8063,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,469,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,4595,35.8885993,14.4476911,,
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,496,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,14124,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,30,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,32818,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,2236,35.8885993,14.4476911,6.06272746187266,22.727528470146083
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1931,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,86907,35.8885993,14.4476911,,
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,17900,35.8885993,14.4476911,,
2018,2018,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,186,35.8885993,14.4476911,,
