yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,1084716,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Central Asia,Asia,220230,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,1514491,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,4904382,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,1245018,38.9597594,34.9249653,,
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,10983360,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Melanesia,Oceania,313,38.9597594,34.9249653,1.0108650891006263,147.3257485906919
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,2828398,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,5078351,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,48658146,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,909816,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,5433445,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,70159114,38.9597594,34.9249653,6.06272746187266,22.727528470146083
2007,2007,Export,Turkey,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,909721,38.9597594,34.9249653,,
