yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,1116840,26.82,18.12,37.977378106878206,73.97804075806764
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,1837,26.82,18.12,51.67568633314729,27.673469819741847
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,9326960,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,116863,26.82,18.12,17.925141963241547,-78.01492950057497
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,470596,26.82,18.12,43.897683433510366,-100.08947125585888
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,593294,26.82,18.12,59.36075159783851,25.01346951967388
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,967533,26.82,18.12,10.528384761701911,103.08333472012376
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,3959,26.82,18.12,25.499703063807168,75.5024015339642
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,87470417,26.82,18.12,40.12399607988535,20.742583178432696
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,23092,26.82,18.12,6.06272746187266,22.727528470146083
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,110033462,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,47199220,26.82,18.12,26.42921218083572,52.86847103284948
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,8385410,26.82,18.12,47.92172048214207,7.866753258497997
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,280610160,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Algeria, Algeria,1736528,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,17123,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,184650,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,23525,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,213298,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,252766,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,22763,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,11570,26.82,18.12,,
2009,2009,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,871616,26.82,18.12,,
