yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,2532,33.87,35.84,39.89317229901691,61.060280637304274
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,2370,33.87,35.84,51.67568633314729,27.673469819741847
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,2601,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,35204,33.87,35.84,17.925141963241547,-78.01492950057497
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,442,33.87,35.84,43.897683433510366,-100.08947125585888
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1639,33.87,35.84,59.36075159783851,25.01346951967388
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,7159,33.87,35.84,40.12399607988535,20.742583178432696
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,342298,33.87,35.84,6.06272746187266,22.727528470146083
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,1348,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,73724,33.87,35.84,26.42921218083572,52.86847103284948
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,7177,33.87,35.84,47.92172048214207,7.866753258497997
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,692452,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,6829,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,7659,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,9414,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,38,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,90208,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,35273,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,7046,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,5287,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,895,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,1924,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,6686,33.87,35.84,,
2015,2015,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,44637,33.87,35.84,,
