yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,99830,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2009,2009,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,556655,33.7680065,66.2385139,,
2009,2009,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials, Pakistan, Pakistan,456825,33.7680065,66.2385139,,
