rtTitle,Subregion,rgDesc,TradeValue
United Arab Emirates,Afghanistan,Export,1332393457
United Arab Emirates,Afghanistan,Import,27879125
United Arab Emirates,Afghanistan,Re-Export,1030984445
United Arab Emirates,Algeria,Export,629384162
United Arab Emirates,Algeria,Import,441408240
United Arab Emirates,Algeria,Re-Export,441573529
United Arab Emirates,Armenia,Export,147288637
United Arab Emirates,Armenia,Import,8192263
United Arab Emirates,Armenia,Re-Export,102010293
United Arab Emirates,Azerbaijan,Export,325053152
United Arab Emirates,Azerbaijan,Import,2270524
United Arab Emirates,Azerbaijan,Re-Export,265626935
United Arab Emirates,Bahrain,Export,2605659532
United Arab Emirates,Bahrain,Import,3745051653
United Arab Emirates,Bahrain,Re-Export,1844077918
United Arab Emirates,Comoros,Export,56065036
United Arab Emirates,Comoros,Import,2561338
United Arab Emirates,Comoros,Re-Export,39133437
United Arab Emirates,Cyprus,Export,84080761
United Arab Emirates,Cyprus,Import,51049738
United Arab Emirates,Cyprus,Re-Export,63775787
United Arab Emirates,Djibouti,Export,783269835
United Arab Emirates,Djibouti,Import,1108056
United Arab Emirates,Djibouti,Re-Export,557439422
United Arab Emirates,Georgia,Export,184826038
United Arab Emirates,Georgia,Import,8109268
United Arab Emirates,Georgia,Re-Export,155665479
United Arab Emirates,Iraq,Export,12365177963
United Arab Emirates,Iraq,Import,1200793474
United Arab Emirates,Iraq,Re-Export,10488606212
United Arab Emirates,Jordan,Export,1723518100
United Arab Emirates,Jordan,Import,388217742
United Arab Emirates,Jordan,Re-Export,1263753236
United Arab Emirates,Kuwait,Export,7472206699
United Arab Emirates,Kuwait,Import,1950225310
United Arab Emirates,Kuwait,Re-Export,5571020914
United Arab Emirates,Lebanon,Export,1003423207
United Arab Emirates,Lebanon,Import,118187135
United Arab Emirates,Lebanon,Re-Export,770281485
United Arab Emirates,Libya,Export,1319078629
United Arab Emirates,Libya,Import,598817280
United Arab Emirates,Libya,Re-Export,892576807
United Arab Emirates,Malta,Export,134962398
United Arab Emirates,Malta,Import,83030758
United Arab Emirates,Malta,Re-Export,13100832
United Arab Emirates,Mauritania,Export,136226390
United Arab Emirates,Mauritania,Import,216405
United Arab Emirates,Mauritania,Re-Export,96711570
United Arab Emirates,Morocco,Export,536683730
United Arab Emirates,Morocco,Import,159087238
United Arab Emirates,Morocco,Re-Export,262566791
United Arab Emirates,Oman,Export,9582422698
United Arab Emirates,Oman,Import,2025984671
United Arab Emirates,Oman,Re-Export,6068312195
United Arab Emirates,Pakistan,Export,3393489169
United Arab Emirates,Pakistan,Import,770463607
United Arab Emirates,Pakistan,Re-Export,2443572044
United Arab Emirates,Qatar,Export,676896
United Arab Emirates,Qatar,Import,243871
United Arab Emirates,Qatar,Re-Export,2405
United Arab Emirates,Saudi Arabia,Export,21070754549
United Arab Emirates,Saudi Arabia,Import,6099247764
United Arab Emirates,Saudi Arabia,Re-Export,14974795113
United Arab Emirates,State of Palestine,Export,27538231
United Arab Emirates,State of Palestine,Import,19186712
United Arab Emirates,State of Palestine,Re-Export,8424669
United Arab Emirates,Yemen,Export,910196274
United Arab Emirates,Yemen,Import,13513174
United Arab Emirates,Yemen,Re-Export,532558933
