yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,71488
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,13692
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,967
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,1222096
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,128901
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,444909
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,16362
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,7095
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,4924331
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,10566
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,77691
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,821767
2004,2004,Import,Cyprus,25,Salt; sulfur; earths and stone; plastering materials,World,World,8853690
