yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,4381,25.3336984,51.2295295,59.36075159783851,25.01346951967388
2007,2007,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,8560,25.3336984,51.2295295,10.528384761701911,103.08333472012376
2007,2007,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,96615,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,2129,25.3336984,51.2295295,,
2007,2007,Re-Export,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,81545,25.3336984,51.2295295,,
