yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2020,2020,Import,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,25537240,,,-36.8535712,174.7456809
2020,2020,Import,Oman,Australia,35,Albuminoidal substances; modified starches; glues; enzymes,3368,,,-24.7761086,134.755
2020,2020,Import,Oman,Austria,35,Albuminoidal substances; modified starches; glues; enzymes,543,,,47.59397,14.12456
2020,2020,Import,Oman,Bahrain,35,Albuminoidal substances; modified starches; glues; enzymes,34286,,,26.1551249,50.5344606
2020,2020,Import,Oman,Belgium,35,Albuminoidal substances; modified starches; glues; enzymes,222234,,,50.6402809,4.6667145
2020,2020,Import,Oman,Canada,35,Albuminoidal substances; modified starches; glues; enzymes,84665,,,61.0666922,-107.991707
2020,2020,Import,Oman,Sri Lanka,35,Albuminoidal substances; modified starches; glues; enzymes,4790,,,7.5554942,80.7137847
2020,2020,Import,Oman,China,35,Albuminoidal substances; modified starches; glues; enzymes,2017425,,,35.000074,104.999927
2020,2020,Import,Oman,Czechia,35,Albuminoidal substances; modified starches; glues; enzymes,18,,,,
2020,2020,Import,Oman,France,35,Albuminoidal substances; modified starches; glues; enzymes,49716,,,46.603354,1.8883335
2020,2020,Import,Oman,Germany,35,Albuminoidal substances; modified starches; glues; enzymes,1174829,,,51.1638175,10.4478313
2020,2020,Import,Oman,Iran,35,Albuminoidal substances; modified starches; glues; enzymes,19120,,,32.6475314,54.5643516
2020,2020,Import,Oman,Ireland,35,Albuminoidal substances; modified starches; glues; enzymes,455,,,52.865196,-7.9794599
2020,2020,Import,Oman,Italy,35,Albuminoidal substances; modified starches; glues; enzymes,668886,,,42.6384261,12.674297
2020,2020,Import,Oman,Japan,35,Albuminoidal substances; modified starches; glues; enzymes,1003763,,,36.5748441,139.2394179
2020,2020,Import,Oman,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,3464,,,31.1667049,36.941628
2020,2020,Import,Oman,Rep. of Korea,35,Albuminoidal substances; modified starches; glues; enzymes,128925,,,,
2020,2020,Import,Oman,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,39534,,,29.2733964,47.4979476
2020,2020,Import,Oman,Lithuania,35,Albuminoidal substances; modified starches; glues; enzymes,91,,,55.3500003,23.7499997
2020,2020,Import,Oman,Luxembourg,35,Albuminoidal substances; modified starches; glues; enzymes,41446,,,,
2020,2020,Import,Oman,Malaysia,35,Albuminoidal substances; modified starches; glues; enzymes,116392,,,4.5693754,102.2656823
2020,2020,Import,Oman,Netherlands,35,Albuminoidal substances; modified starches; glues; enzymes,1573742,,,52.2434979,5.6343227
2020,2020,Import,Oman,Pakistan,35,Albuminoidal substances; modified starches; glues; enzymes,27284,,,30.3308401,71.247499
2020,2020,Import,Oman,Qatar,35,Albuminoidal substances; modified starches; glues; enzymes,160132,,,25.3336984,51.2295295
2020,2020,Import,Oman,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,2069529,,,25.6242618,42.3528328
2020,2020,Import,Oman,Serbia,35,Albuminoidal substances; modified starches; glues; enzymes,1942,,,44.1534121,20.55144
2020,2020,Import,Oman,India,35,Albuminoidal substances; modified starches; glues; enzymes,2222702,,,22.3511148,78.6677428
2020,2020,Import,Oman,Singapore,35,Albuminoidal substances; modified starches; glues; enzymes,63339,,,1.357107,103.8194992
2020,2020,Import,Oman,Spain,35,Albuminoidal substances; modified starches; glues; enzymes,15838,,,39.3260685,-4.8379791
2020,2020,Import,Oman,Sweden,35,Albuminoidal substances; modified starches; glues; enzymes,832,,,59.6749712,14.5208584
2020,2020,Import,Oman,Switzerland,35,Albuminoidal substances; modified starches; glues; enzymes,4319,,,46.7985624,8.2319736
2020,2020,Import,Oman,Thailand,35,Albuminoidal substances; modified starches; glues; enzymes,605,,,14.8971921,100.83273
2020,2020,Import,Oman,United Arab Emirates,35,Albuminoidal substances; modified starches; glues; enzymes,11684891,,,24.0002488,53.9994829
2020,2020,Import,Oman,Turkey,35,Albuminoidal substances; modified starches; glues; enzymes,287638,,,38.9597594,34.9249653
2020,2020,Import,Oman,Egypt,35,Albuminoidal substances; modified starches; glues; enzymes,149726,,,26.2540493,29.2675469
2020,2020,Import,Oman,United Kingdom,35,Albuminoidal substances; modified starches; glues; enzymes,324629,,,54.7023545,-3.2765753
2020,2020,Import,Oman,USA,35,Albuminoidal substances; modified starches; glues; enzymes,1336127,,,,
