yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,40437,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,722,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,1940064,31.1667049,36.941628,6.06272746187266,22.727528470146083
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,307804,31.1667049,36.941628,26.42921218083572,52.86847103284948
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,942,31.1667049,36.941628,47.92172048214207,7.866753258497997
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6440962,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,3141,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,1125456,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,6750,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Kuwait, Kuwait,72130,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,614715,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,116,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,2257,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,48512,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,972257,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, State of Palestine, State of Palestine,222956,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,405284,31.1667049,36.941628,,
2006,2006,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes, Yemen, Yemen,133211,31.1667049,36.941628,,
