yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2019,2019,Export,Turkey,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,27043579,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,Albania,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,721851,38.9597594,34.9249653,41.000028,19.9999619
2019,2019,Export,Turkey,Algeria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,999,38.9597594,34.9249653,28.0000272,2.9999825
2019,2019,Export,Turkey,Azerbaijan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1027398,38.9597594,34.9249653,40.3936294,47.7872508
2019,2019,Export,Turkey,Austria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,349241,38.9597594,34.9249653,47.59397,14.12456
2019,2019,Export,Turkey,Bangladesh,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,26900,38.9597594,34.9249653,24.4769288,90.2934413
2019,2019,Export,Turkey,Belgium,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8452,38.9597594,34.9249653,50.6402809,4.6667145
2019,2019,Export,Turkey,Bosnia Herzegovina,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,549952,38.9597594,34.9249653,44.3053476,17.5961467
2019,2019,Export,Turkey,Brazil,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,17235,38.9597594,34.9249653,-10.3333333,-53.2
2019,2019,Export,Turkey,Bulgaria,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,177349,38.9597594,34.9249653,42.6073975,25.4856617
2019,2019,Export,Turkey,Cameroon,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1573,38.9597594,34.9249653,4.6125522,13.1535811
2019,2019,Export,Turkey,Chile,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,42312,38.9597594,34.9249653,-31.7613365,-71.3187697
2019,2019,Export,Turkey,China,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3599,38.9597594,34.9249653,35.000074,104.999927
2019,2019,Export,Turkey,Croatia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,138503,38.9597594,34.9249653,,
2019,2019,Export,Turkey,Cyprus,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1027349,38.9597594,34.9249653,34.9823018,33.1451285
