yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,347430,,,-36.8535712,174.7456809
2018,2018,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,757981,,,-36.8535712,174.7456809
2019,2019,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,1174443,,,-36.8535712,174.7456809
2020,2020,Export,Kuwait,World,35,Albuminoidal substances; modified starches; glues; enzymes,1117333,,,-36.8535712,174.7456809
2016,2016,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,111622,,,-36.8535712,174.7456809
2017,2017,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,907271,,,-36.8535712,174.7456809
2018,2018,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,2113841,,,-36.8535712,174.7456809
2019,2019,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,2916340,,,-36.8535712,174.7456809
2020,2020,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,3892974,,,-36.8535712,174.7456809
2021,2021,Export,Oman,World,35,Albuminoidal substances; modified starches; glues; enzymes,7531477,,,-36.8535712,174.7456809
2016,2016,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,411873,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,297465,25.3336984,51.2295295,-36.8535712,174.7456809
2018,2018,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,1242465,25.3336984,51.2295295,-36.8535712,174.7456809
2019,2019,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,218933,25.3336984,51.2295295,-36.8535712,174.7456809
2020,2020,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,191365,25.3336984,51.2295295,-36.8535712,174.7456809
2021,2021,Export,Qatar,World,35,Albuminoidal substances; modified starches; glues; enzymes,150883,25.3336984,51.2295295,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,31663540,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,39375507,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,34183434,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,World,35,Albuminoidal substances; modified starches; glues; enzymes,32256088,,,-36.8535712,174.7456809
2015,2015,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,183112182,38.9597594,34.9249653,-36.8535712,174.7456809
2016,2016,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,192050808,38.9597594,34.9249653,-36.8535712,174.7456809
2017,2017,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,213751366,38.9597594,34.9249653,-36.8535712,174.7456809
2018,2018,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,201101520,38.9597594,34.9249653,-36.8535712,174.7456809
2019,2019,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,235350627,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Export,Turkey,World,35,Albuminoidal substances; modified starches; glues; enzymes,340496575,38.9597594,34.9249653,-36.8535712,174.7456809
