yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,260481,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,626349,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,47338,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,837560,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,104267,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,1063143,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,665339,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,252585,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,206540,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,120335,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,637719,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,World,World,83406684,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Cyprus, Cyprus,16614,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,117002,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,17096,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,20287,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,33997,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,52463,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,22149,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,42931970,26.1551249,50.5344606,,
2005,2005,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,31077900,26.1551249,50.5344606,,
