yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,12624,29.2733964,47.4979476,10.528384761701911,103.08333472012376
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,9790,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,105,29.2733964,47.4979476,6.06272746187266,22.727528470146083
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,5015,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1174443,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,190343,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,519807,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,92798,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,5152,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,156682,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,72896,29.2733964,47.4979476,,
2019,2019,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,109231,29.2733964,47.4979476,,
