yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,784000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1052000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,272000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3285000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,1807000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,82000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1716000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,54000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,493000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,2538000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;,World,World,12691000,30.8124247,34.8594762,,
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;, Cyprus, Cyprus,107000,30.8124247,34.8594762,,
2003,2003,Export,Israel,4,Dairy produce; birds eggs; natural honey;, Georgia, Georgia,29000,30.8124247,34.8594762,,
