yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,6003,33.87,35.84,-16.85099460447687,133.4130365630627
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,2952,33.87,35.84,39.89317229901691,61.060280637304274
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,10705,33.87,35.84,37.977378106878206,73.97804075806764
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,22025,33.87,35.84,51.67568633314729,27.673469819741847
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,24457,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,9961,33.87,35.84,17.925141963241547,-78.01492950057497
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,45703,33.87,35.84,43.897683433510366,-100.08947125585888
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,24864,33.87,35.84,59.36075159783851,25.01346951967388
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,37773,33.87,35.84,40.12399607988535,20.742583178432696
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,287726,33.87,35.84,6.06272746187266,22.727528470146083
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,104430,33.87,35.84,26.42921218083572,52.86847103284948
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,20074,33.87,35.84,47.92172048214207,7.866753258497997
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,952835,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,2016,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,3096,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,423,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,1664,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,140,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,15586,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,120,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,162622,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,4180,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,4322,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,3960,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,108741,33.87,35.84,,
2011,2011,Export,Lebanon,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,3630,33.87,35.84,,
