yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,9257,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,8,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,2396,35.8885993,14.4476911,,
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1367,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,325158,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,23848,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,38815,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,3590,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,5972,35.8885993,14.4476911,,
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1729,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,10840,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,447587,35.8885993,14.4476911,,
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,3085,35.8885993,14.4476911,,
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,91,35.8885993,14.4476911,,
2021,2021,Export,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,5750,35.8885993,14.4476911,,
