yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,124809,26.82,18.12,37.977378106878206,73.97804075806764
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,3848,26.82,18.12,51.67568633314729,27.673469819741847
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,34569163,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,14320,26.82,18.12,43.897683433510366,-100.08947125585888
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,33007,26.82,18.12,59.36075159783851,25.01346951967388
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4070,26.82,18.12,10.528384761701911,103.08333472012376
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,2852636,26.82,18.12,40.12399607988535,20.742583178432696
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,16530106,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1472015,26.82,18.12,26.42921218083572,52.86847103284948
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,574669,26.82,18.12,47.92172048214207,7.866753258497997
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,56579616,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,34583,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,18700,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,13728,26.82,18.12,,
2018,2018,Import,Libya,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,44764,26.82,18.12,,
