yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,16634,35.8885993,14.4476911,-16.85099460447687,133.4130365630627
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,22350,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,618,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,274445,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,9,35.8885993,14.4476911,19.569604022535763,12.47761721199581
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,153239,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,779304,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,7554,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1392461,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,5151,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1181641,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2005,2005,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,3834274,35.8885993,14.4476911,,
