yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,15018,,,39.89317229901691,61.060280637304274
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,474918,,,37.977378106878206,73.97804075806764
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1448282,,,51.67568633314729,27.673469819741847
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,904065,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1368517,,,17.925141963241547,-78.01492950057497
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,320107,,,10.528384761701911,103.08333472012376
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,20034,,,25.499703063807168,75.5024015339642
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1313850,,,40.12399607988535,20.742583178432696
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,91069,,,6.06272746187266,22.727528470146083
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,99183,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,318428,,,26.42921218083572,52.86847103284948
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,102,,,47.92172048214207,7.866753258497997
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9617060,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Algeria, Algeria,77017,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,7655,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,11330,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,1938634,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,82347,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,61205,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,429585,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,95396,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Mauritania, Mauritania,934,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,135992,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,14945,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,130557,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,15823,,,,
2009,2009,Export,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,28033,,,,
