yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,43332373,26.82,18.12,-16.85099460447687,133.4130365630627
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,170064,26.82,18.12,37.977378106878206,73.97804075806764
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,12441601,26.82,18.12,51.67568633314729,27.673469819741847
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,43272491,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,178242,26.82,18.12,17.925141963241547,-78.01492950057497
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,845541,26.82,18.12,43.897683433510366,-100.08947125585888
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,13858813,26.82,18.12,59.36075159783851,25.01346951967388
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,374668,26.82,18.12,10.528384761701911,103.08333472012376
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,30155629,26.82,18.12,40.12399607988535,20.742583178432696
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,18089180,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,6679842,26.82,18.12,26.42921218083572,52.86847103284948
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,130194096,26.82,18.12,47.92172048214207,7.866753258497997
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,World,World,404372356,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Algeria, Algeria,310019,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,24796,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,123177,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Malta, Malta,713773,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,67188,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,5802,26.82,18.12,,
2016,2016,Import,Libya,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,102902150,26.82,18.12,,
