yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,385773,,,-16.85099460447687,133.4130365630627
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,2432449,,,37.977378106878206,73.97804075806764
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,11674,,,51.67568633314729,27.673469819741847
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,863998,,,17.925141963241547,-78.01492950057497
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Africa,Africa,259371,,,19.569604022535763,12.47761721199581
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,110816,,,43.897683433510366,-100.08947125585888
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1935081,,,59.36075159783851,25.01346951967388
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,111886,,,10.528384761701911,103.08333472012376
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2740,,,25.499703063807168,75.5024015339642
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,721463,,,40.12399607988535,20.742583178432696
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1204657,,,26.42921218083572,52.86847103284948
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,4670987,,,47.92172048214207,7.866753258497997
2009,2009,Import,Syria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,22734954,,,,
