yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,2636651
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,5898
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,42926607
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,464364
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,2398194
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1124035
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,32177464
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,17099
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,297839
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,3263481
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,63908
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,7528241
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,52173760
2002,2002,Import,Lebanon,4,Dairy produce; birds eggs; natural honey;,World,World,154350590
