yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,5446,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,504090,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,11031,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,38787,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,25599,24.0002488,53.9994829,19.569604022535763,12.47761721199581
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,177910,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,25451,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,84065,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,2628467,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,12831936,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,1024214,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,14735,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2003,2003,Re-Export,United Arab Emirates,4,Dairy produce; birds eggs; natural honey;,World,World,28552647,24.0002488,53.9994829,,
