yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,57438,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,36515,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,196866,31.1728205,-7.3362482,10.528384761701911,103.08333472012376
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1076742,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4046248,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2004,2004,Import,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,5424310,31.1728205,-7.3362482,,
