yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,224,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,8485,33.8750629,35.843409,37.977378106878206,73.97804075806764
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,281050,33.8750629,35.843409,51.67568633314729,27.673469819741847
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,81112,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,256914,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,15693,33.8750629,35.843409,59.36075159783851,25.01346951967388
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,6687,33.8750629,35.843409,10.528384761701911,103.08333472012376
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,30094,33.8750629,35.843409,25.499703063807168,75.5024015339642
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1130952,33.8750629,35.843409,40.12399607988535,20.742583178432696
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,186,33.8750629,35.843409,6.06272746187266,22.727528470146083
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,72875,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,2193929,33.8750629,35.843409,26.42921218083572,52.86847103284948
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,4715384,33.8750629,35.843409,47.92172048214207,7.866753258497997
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,9011433,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,214,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,68369,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,46531,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,547,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, Malta, Malta,6662,33.8750629,35.843409,,
2002,2002,Import,Lebanon,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,82062,33.8750629,35.843409,,
