yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2015,2015.0,Import,Azerbaijan,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",585355315.0,,40.3936294,47.7872508,-36.8535712,174.7456809
2015,2015.0,Import,Azerbaijan,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1925.0,,40.3936294,47.7872508,-34.9964963,-64.9672817
2015,2015.0,Import,Azerbaijan,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",193642.0,,40.3936294,47.7872508,-24.7761086,134.755
2015,2015.0,Import,Azerbaijan,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",119701.0,,40.3936294,47.7872508,47.59397,14.12456
2015,2015.0,Import,Azerbaijan,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23039.0,,40.3936294,47.7872508,24.4769288,90.2934413
2015,2015.0,Import,Azerbaijan,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",598223.0,,40.3936294,47.7872508,50.6402809,4.6667145
2015,2015.0,Import,Azerbaijan,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21840.0,,40.3936294,47.7872508,-10.3333333,-53.2
2015,2015.0,Import,Azerbaijan,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",23279.0,,40.3936294,47.7872508,42.6073975,25.4856617
2015,2015.0,Import,Azerbaijan,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24911428.0,,40.3936294,47.7872508,53.4250605,27.6971358
2015,2015.0,Import,Azerbaijan,Cambodia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",471.0,,40.3936294,47.7872508,12.5433216,104.8144914
2015,2015.0,Import,Azerbaijan,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",103848.0,,40.3936294,47.7872508,61.0666922,-107.991707
2015,2015.0,Import,Azerbaijan,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",33600473.0,,40.3936294,47.7872508,35.000074,104.999927
2015,2015.0,Import,Azerbaijan,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26675212.0,,40.3936294,47.7872508,49.7439047,15.3381061
2015,2015.0,Import,Azerbaijan,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26640.0,,40.3936294,47.7872508,55.670249,10.3333283
2015,2015.0,Import,Azerbaijan,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3164.0,,40.3936294,47.7872508,58.7523778,25.3319078
2015,2015.0,Import,Azerbaijan,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",232148.0,,40.3936294,47.7872508,63.2467777,25.9209164
2015,2015.0,Import,Azerbaijan,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",67286517.0,,40.3936294,47.7872508,46.603354,1.8883335
2015,2015.0,Import,Azerbaijan,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",311.0,,40.3936294,47.7872508,32.3293809,-83.1137366
2015,2015.0,Import,Azerbaijan,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",172204801.0,,40.3936294,47.7872508,51.1638175,10.4478313
2015,2015.0,Import,Azerbaijan,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",545.0,,40.3936294,47.7872508,22.350627,114.1849161
2015,2015.0,Import,Azerbaijan,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",612163.0,,40.3936294,47.7872508,47.1817585,19.5060937
2015,2015.0,Import,Azerbaijan,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1207.0,,40.3936294,47.7872508,-2.4833826,117.8902853
2015,2015.0,Import,Azerbaijan,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",733273.0,,40.3936294,47.7872508,32.6475314,54.5643516
2015,2015.0,Import,Azerbaijan,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",93.0,,40.3936294,47.7872508,52.865196,-7.9794599
