yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion_export,Region_export,TradeValue_export,rtLat,rtLon,ptLon,ptLat,mid,Subregion_import,Region_import,TradeValue_import
2019.0,2019.0,Export,Yemen,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",World,World,1318.0,16.3471243,47.8915271,,,42019Yemen,World,World,87743275.0
2019.0,2019.0,Export,Yemen,7.0,Vegetables and certain roots and tubers; edible,World,World,1738.0,16.3471243,47.8915271,,,72019Yemen,World,World,12723246.0
2019.0,2019.0,Export,Yemen,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",World,World,2977.0,16.3471243,47.8915271,,,82019Yemen,World,World,26949830.0
2019.0,2019.0,Export,Yemen,9.0,"Coffee, tea, mate and spices",World,World,11348.0,16.3471243,47.8915271,,,92019Yemen,World,World,31733641.0
2019.0,2019.0,Export,Yemen,10.0,Cereals,World,World,17024.0,16.3471243,47.8915271,,,102019Yemen,World,World,852518062.0
2019.0,2019.0,Export,Yemen,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",World,World,22882218.0,16.3471243,47.8915271,,,112019Yemen,World,World,131727173.0
2019.0,2019.0,Export,Yemen,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",World,World,3216.0,16.3471243,47.8915271,,,122019Yemen,World,World,8265048.0
2019.0,2019.0,Export,Yemen,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,World,World,1454.0,16.3471243,47.8915271,,,142019Yemen,World,World,60100.0
2019.0,2019.0,Export,Yemen,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,World,World,125284.0,16.3471243,47.8915271,,,152019Yemen,World,World,43975648.0
2019.0,2019.0,Export,Yemen,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",World,World,1382.0,16.3471243,47.8915271,,,192019Yemen,World,World,68350133.0
2019.0,2019.0,Export,Yemen,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",World,World,7346.0,16.3471243,47.8915271,,,202019Yemen,World,World,68349734.0
2019.0,2019.0,Export,Yemen,21.0,Miscellaneous edible preparations,World,World,8189.0,16.3471243,47.8915271,,,212019Yemen,World,World,26311921.0
2019.0,2019.0,Export,Yemen,22.0,"Beverages, spirits and vinegar",World,World,1678.0,16.3471243,47.8915271,,,222019Yemen,World,World,13691979.0
2019.0,2019.0,Export,Yemen,23.0,"Food industries, residues and wastes thereof; prepared animal fodder",World,World,353107.0,16.3471243,47.8915271,,,232019Yemen,World,World,102899331.0
2019.0,2019.0,Export,Yemen,25.0,"Salt; sulphur; earths, stone; plastering materials, lime and cement",World,World,2094.0,16.3471243,47.8915271,,,252019Yemen,World,World,5294194.0
2019.0,2019.0,Export,Yemen,27.0,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",World,World,12307.0,16.3471243,47.8915271,,,272019Yemen,World,World,1340089975.0
2019.0,2019.0,Export,Yemen,28.0,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",World,World,3860.0,16.3471243,47.8915271,,,282019Yemen,World,World,9124725.0
2019.0,2019.0,Export,Yemen,29.0,Organic chemicals,World,World,3002.0,16.3471243,47.8915271,,,292019Yemen,World,World,5330929.0
2019.0,2019.0,Export,Yemen,39.0,Plastics and articles thereof,World,World,48471.0,16.3471243,47.8915271,,,392019Yemen,World,World,163257406.0
2019.0,2019.0,Export,Yemen,40.0,Rubber and articles thereof,World,World,15192.0,16.3471243,47.8915271,,,402019Yemen,World,World,38875919.0
2019.0,2019.0,Export,Yemen,44.0,Wood and articles of wood; wood charcoal,World,World,163088.0,16.3471243,47.8915271,,,442019Yemen,World,World,58254958.0
2019.0,2019.0,Export,Yemen,49.0,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",World,World,1272.0,16.3471243,47.8915271,,,492019Yemen,World,World,472839.0
2019.0,2019.0,Export,Yemen,61.0,Apparel and clothing accessories; knitted or crocheted,World,World,55944.0,16.3471243,47.8915271,,,612019Yemen,World,World,1729134.0
2019.0,2019.0,Export,Yemen,62.0,Apparel and clothing accessories; not knitted or crocheted,World,World,15944.0,16.3471243,47.8915271,,,622019Yemen,World,World,56629483.0
2019.0,2019.0,Export,Yemen,63.0,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",World,World,4003.0,16.3471243,47.8915271,,,632019Yemen,World,World,14908240.0
2019.0,2019.0,Export,Yemen,73.0,Iron or steel articles,World,World,2648.0,16.3471243,47.8915271,,,732019Yemen,World,World,37263523.0
2019.0,2019.0,Export,Yemen,74.0,Copper and articles thereof,World,World,1698.0,16.3471243,47.8915271,,,742019Yemen,World,World,474554.0
2019.0,2019.0,Export,Yemen,76.0,Aluminium and articles thereof,World,World,15836.0,16.3471243,47.8915271,,,762019Yemen,World,World,18086183.0
2019.0,2019.0,Export,Yemen,84.0,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",World,World,13513.0,16.3471243,47.8915271,,,842019Yemen,World,World,57082177.0
2019.0,2019.0,Export,Yemen,85.0,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",World,World,2365.0,16.3471243,47.8915271,,,852019Yemen,World,World,200498714.0
2019.0,2019.0,Export,Yemen,96.0,Miscellaneous manufactured articles,World,World,473.0,16.3471243,47.8915271,,,962019Yemen,World,World,27507119.0
