yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,310779,31.46,34.26,,
2010,2010,Re-Export,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Israel, Israel,303272,31.46,34.26,,
2010,2010,Re-Export,State of Palestine,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Jordan, Jordan,7507,31.46,34.26,,
