yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,498000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,4322000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,277000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,2482000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Melanesia,Oceania,1000,30.8124247,34.8594762,1.0108650891006263,147.3257485906919
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,5854000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1625000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,337000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,2000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,470000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,533000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,71000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2658000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,20206000,30.8124247,34.8594762,,
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,1000,30.8124247,34.8594762,,
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,281000,30.8124247,34.8594762,,
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Djibouti, Djibouti,16000,30.8124247,34.8594762,,
2016,2016,Export,Israel,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,41000,30.8124247,34.8594762,,
