yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,14162,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,7560489,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,591,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,2439263,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,13504482,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Djibouti, Djibouti,1020062,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,251,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,1495259,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,101,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Saudi Arabia, Saudi Arabia,49704,16.3471243,47.8915271,,
2009,2009,Export,Yemen,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,299880,16.3471243,47.8915271,,
