yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,1008049,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,5112177,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,378,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,46673,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,286627,26.1551249,50.5344606,19.569604022535763,12.47761721199581
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,926001,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,230354,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,45524,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,485839,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,1914989,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,317577,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,167891,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,1310867,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2008,2008,Import,Bahrain,25,Salt; sulfur; earths and stone; plastering materials,World,World,138498105,26.1551249,50.5344606,,
