yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,601721,31.46242095,34.262716572130714,37.977378106878206,73.97804075806764
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,25718,31.46242095,34.262716572130714,,
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,87022,31.46242095,34.262716572130714,17.925141963241547,-78.01492950057497
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,641,31.46242095,34.262716572130714,43.897683433510366,-100.08947125585888
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,17635,31.46242095,34.262716572130714,59.36075159783851,25.01346951967388
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2051,31.46242095,34.262716572130714,10.528384761701911,103.08333472012376
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,905919,31.46242095,34.262716572130714,40.12399607988535,20.742583178432696
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,131535,31.46242095,34.262716572130714,26.42921218083572,52.86847103284948
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,491721,31.46242095,34.262716572130714,47.92172048214207,7.866753258497997
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,4972741,31.46242095,34.262716572130714,,
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,2678351,31.46242095,34.262716572130714,,
2010,2010,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,3634,31.46242095,34.262716572130714,,
