yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,2000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,1000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,7000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,21000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,25000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,2000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,1000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,78000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,33000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,9000
2005,2005,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,2817000
