yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,67,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,5394,40.7696272,44.6736646,39.89317229901691,61.060280637304274
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1441457,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,726420,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,7277,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,49921,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,306851,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,21304,40.7696272,44.6736646,10.528384761701911,103.08333472012376
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,116974,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1083622,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,1405029,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,1600868,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,6848592,40.7696272,44.6736646,,
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,991,40.7696272,44.6736646,,
2017,2017,Import,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,1394,40.7696272,44.6736646,,
