yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,63200,25.6242618,42.3528328,10.528384761701911,103.08333472012376
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,2630136,25.6242618,42.3528328,6.06272746187266,22.727528470146083
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,7867743,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Cyprus, Cyprus,409601,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Iraq, Iraq,66933,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Jordan, Jordan,1369335,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Kuwait, Kuwait,1558402,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Lebanon, Lebanon,263200,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Libya, Libya,94667,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Oman, Oman,60800,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Qatar, Qatar,48533,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, United Arab Emirates, United Arab Emirates,769068,25.6242618,42.3528328,,
2008,2008,Export,Saudi Arabia,11,Products of the milling industry; malt; starches; inulin; wheat gluten, Yemen, Yemen,330934,25.6242618,42.3528328,,
