yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,4881653,,,-36.8535712,174.7456809
2016,2016,Export,Saudi Arabia,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,277366,,,26.1551249,50.5344606
2016,2016,Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,835300,,,29.2733964,47.4979476
2016,2016,Export,Saudi Arabia,Qatar,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2550973,,,25.3336984,51.2295295
2016,2016,Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1218013,,,24.0002488,53.9994829
2018,2018,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,16745142,,,-36.8535712,174.7456809
2018,2018,Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,13414840,,,29.2733964,47.4979476
2018,2018,Export,Saudi Arabia,Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1478484,,,14.5844444,29.4917691
2018,2018,Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1851817,,,24.0002488,53.9994829
2019,2019,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,12990642,,,-36.8535712,174.7456809
2019,2019,Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,11092698,,,29.2733964,47.4979476
2019,2019,Export,Saudi Arabia,Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,418049,,,14.5844444,29.4917691
2019,2019,Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,1479895,,,24.0002488,53.9994829
2020,2020,Export,Saudi Arabia,World,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,5112380,,,-36.8535712,174.7456809
2020,2020,Export,Saudi Arabia,Bahrain,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,43558,,,26.1551249,50.5344606
2020,2020,Export,Saudi Arabia,Djibouti,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,222798,,,11.8145966,42.8453061
2020,2020,Export,Saudi Arabia,Kuwait,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,451685,,,29.2733964,47.4979476
2020,2020,Export,Saudi Arabia,Sudan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3587530,,,14.5844444,29.4917691
2020,2020,Export,Saudi Arabia,United Arab Emirates,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,806807,,,24.0002488,53.9994829
