yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,4395798,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,250122,40.7696272,44.6736646,17.925141963241547,-78.01492950057497
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,223108,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,66949,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,2752,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,62719,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,698851,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin,World,World,8953116,40.7696272,44.6736646,,
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,575943,40.7696272,44.6736646,,
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin, Georgia, Georgia,2234423,40.7696272,44.6736646,,
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin, Lebanon, Lebanon,23,40.7696272,44.6736646,,
2005,2005,Import,Armenia,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,76352,40.7696272,44.6736646,,
