yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,19141971,,,-16.85099460447687,133.4130365630627
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,587259,,,37.977378106878206,73.97804075806764
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,414928,,,51.67568633314729,27.673469819741847
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,894887,,,17.925141963241547,-78.01492950057497
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Northern Africa,Africa,1343596,,,19.569604022535763,12.47761721199581
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,10048337,,,59.36075159783851,25.01346951967388
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1209236,,,10.528384761701911,103.08333472012376
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,13635,,,25.499703063807168,75.5024015339642
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,489964,,,40.12399607988535,20.742583178432696
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,384112,,,6.06272746187266,22.727528470146083
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,70772,,,26.42921218083572,52.86847103284948
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,18420493,,,47.92172048214207,7.866753258497997
2006,2006,Import,Fmr Sudan,4,Dairy produce; birds eggs; natural honey;,World,World,65117815,,,,
