yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,49000,40.7696272,44.6736646,-16.85099460447687,133.4130365630627
2009,2009,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,1404,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2009,2009,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,13000,40.7696272,44.6736646,25.499703063807168,75.5024015339642
2009,2009,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,74231,40.7696272,44.6736646,,
2009,2009,Re-Export,Armenia,35,Albuminoidal substances; modified starches; glues; enzymes,Georgia, Georgia,10827,40.7696272,44.6736646,,
