yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,1049,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2014,2014,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,26,28.0000272,2.9999825,6.06272746187266,22.727528470146083
2014,2014,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,641,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2014,2014,Export,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1716,28.0000272,2.9999825,,
