yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Re-Export,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,3473053,25.62,42.35,47.92172048214207,7.866753258497997
2014,2014,Re-Export,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,3537087,25.62,42.35,,
2014,2014,Re-Export,Saudi Arabia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Yemen, Yemen,64034,25.62,42.35,,
