yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,206017,35.8885993,14.4476911,37.977378106878206,73.97804075806764
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,793395,35.8885993,14.4476911,51.67568633314729,27.673469819741847
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,795383,35.8885993,14.4476911,17.925141963241547,-78.01492950057497
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,215552,35.8885993,14.4476911,43.897683433510366,-100.08947125585888
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,741477,35.8885993,14.4476911,59.36075159783851,25.01346951967388
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,52171,35.8885993,14.4476911,10.528384761701911,103.08333472012376
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1392304,35.8885993,14.4476911,40.12399607988535,20.742583178432696
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,156285,35.8885993,14.4476911,26.42921218083572,52.86847103284948
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3112822,35.8885993,14.4476911,47.92172048214207,7.866753258497997
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7474428,35.8885993,14.4476911,,
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,1288,35.8885993,14.4476911,,
2018,2018,Import,Malta,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,1941,35.8885993,14.4476911,,
