yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Central Asia,Asia,28618,28.0000272,2.9999825,39.89317229901691,61.060280637304274
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,3866002,28.0000272,2.9999825,37.977378106878206,73.97804075806764
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,141211,28.0000272,2.9999825,51.67568633314729,27.673469819741847
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,376774,28.0000272,2.9999825,,
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,192285,28.0000272,2.9999825,17.925141963241547,-78.01492950057497
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,6442898,28.0000272,2.9999825,43.897683433510366,-100.08947125585888
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,11369601,28.0000272,2.9999825,59.36075159783851,25.01346951967388
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,2526758,28.0000272,2.9999825,10.528384761701911,103.08333472012376
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,1244,28.0000272,2.9999825,25.499703063807168,75.5024015339642
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,10613558,28.0000272,2.9999825,40.12399607988535,20.742583178432696
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,598715,28.0000272,2.9999825,,
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,2198477,28.0000272,2.9999825,26.42921218083572,52.86847103284948
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,33809155,28.0000272,2.9999825,47.92172048214207,7.866753258497997
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,72584504,28.0000272,2.9999825,,
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes, Morocco, Morocco,96,28.0000272,2.9999825,,
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,7044,28.0000272,2.9999825,,
2014,2014,Import,Algeria,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,94765,28.0000272,2.9999825,,
