yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,231997,31.1728205,-7.3362482,37.977378106878206,73.97804075806764
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,82344834,31.1728205,-7.3362482,51.67568633314729,27.673469819741847
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,606393,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,2758891,31.1728205,-7.3362482,17.925141963241547,-78.01492950057497
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,18323751,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,3534748,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,53761,31.1728205,-7.3362482,25.499703063807168,75.5024015339642
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,20550170,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,458244,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,391971,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,3285598,31.1728205,-7.3362482,26.42921218083572,52.86847103284948
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,29993748,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials,World,World,229065499,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,5166,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,7900031,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,44301213,31.1728205,-7.3362482,,
2003,2003,Import,Morocco,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,14145336,31.1728205,-7.3362482,,
