yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,13304,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,55953,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,144873,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,112763,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,9438,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,17109,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,1105647,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,88943,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,52561,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,15566865,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,194001,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Comoros, Comoros,4239,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Djibouti, Djibouti,3941029,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,10270,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,186455,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,501,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Libya, Libya,391924,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Morocco, Morocco,41931,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,1345645,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,275024,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,6236602,16.3471243,47.8915271,,
2006,2006,Export,Yemen,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,923689,16.3471243,47.8915271,,
