yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,313,31.1667049,36.941628,19.569604022535763,12.47761721199581
2005,2005,Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,1840,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Export,Jordan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,114187,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Export,Jordan,11,Products of the milling industry; malt; starches; inulin,World,World,472877,31.1667049,36.941628,,
